% Model,Trumpet5.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 2 2023, 11:10"
% Table,Table 1 - Line Integration 1
% freq (Hz),20*log10(acpr.p_t_rms)/20*log10(acpr.v_rms),20*log10(acpr2.p_t_rms)/20*log10(acpr2.v_rms),20*log10(acpr3.p_t_rms)/20*log10(acpr3.v_rms),20*log10(acpr4.p_t_rms)/20*log10(acpr4.v_rms)
50,3.9663911236141125E-5,4.024909732316198E-5,8.28055641652168E-5,1.0517738039754201E-4
54.509803921568626,4.217217684434714E-5,4.317204924617303E-5,8.387031592115479E-5,1.1316538217520798E-4
59.01960784313725,4.66925916106231E-5,4.957550265613374E-5,8.485430186512037E-5,1.5036135850207994E-4
63.529411764705884,5.3179568417650595E-5,4.8271857142534175E-5,8.576974583349757E-5,1.0969936609594114E-4
68.0392156862745,4.416023781918756E-5,4.273139198825725E-5,8.662635713151218E-5,9.959838322274385E-5
72.54901960784314,4.089031153035858E-5,3.997482674626617E-5,8.743197743712323E-5,9.187679243471485E-5
77.05882352941177,3.877323574927938E-5,3.805062203997838E-5,8.819303228632425E-5,8.381581090697623E-5
81.56862745098039,3.7140550592291635E-5,3.6505280342407766E-5,8.891485396599626E-5,7.185629200226018E-5
86.07843137254902,3.57523296550636E-5,3.515205904266498E-5,8.960191740963352E-5,5.5763131041746527E-5
90.58823529411765,3.448775935419844E-5,3.388726395306818E-5,9.025801579612622E-5,7.48654773304292E-5
95.09803921568627,3.326874120086389E-5,3.263635871180873E-5,9.088639345454401E-5,8.112447060518449E-5
99.6078431372549,3.203039491226885E-5,3.1328923786282505E-5,9.148984795956913E-5,8.485189870527199E-5
104.11764705882354,3.070238756872878E-5,2.9877006902434684E-5,9.207080961385543E-5,8.7506260704563E-5
108.62745098039215,2.918600838810174E-5,2.813785823494734E-5,9.263140407815168E-5,8.958560022446096E-5
113.13725490196079,2.7304317220474255E-5,2.5808000030937452E-5,9.317350226671975E-5,9.131828675396408E-5
117.6470588235294,2.4635672549453002E-5,2.1921002773407693E-5,9.369876049843134E-5,9.282821029959507E-5
122.15686274509804,1.9471796681169444E-5,4.33889528527795E-6,9.420865310632526E-5,9.419119727406211E-5
126.66666666666667,1.6685814129406916E-5,2.2315001955208502E-5,9.470449914810621E-5,9.545878411404795E-5
131.1764705882353,2.370929860587747E-5,2.6010608970954365E-5,9.518748445768963E-5,9.666998299250692E-5
135.68627450980392,2.6729692342665916E-5,2.827956781664901E-5,9.565867998548034E-5,9.785817395891468E-5
140.19607843137254,2.8753344095971935E-5,2.9990850892088576E-5,9.611905715643072E-5,9.905619723821743E-5
144.70588235294116,3.0340548881275735E-5,3.142869458237748E-5,9.656950081466097E-5,1.0030150286851347E-4
149.2156862745098,3.1705132887543616E-5,3.272974796530809E-5,9.701082020092624E-5,1.0164331880814857E-4
153.72549019607843,3.295892886674519E-5,3.397981315876402E-5,9.744375831541477E-5,1.0315538119953065E-4
158.23529411764707,3.4176794478304575E-5,3.524900503965216E-5,9.786899994921618E-5,1.0496302210821689E-4
162.7450980392157,3.542329351193519E-5,3.661313295279203E-5,9.828717860935019E-5,1.0731190802352114E-4
167.2549019607843,3.677112893401489E-5,3.8179801071068733E-5,9.869888252253282E-5,1.1078928056182811E-4
171.76470588235293,3.832601001697442E-5,4.01467869227119E-5,9.910465986521772E-5,1.174211144979694E-4
176.27450980392157,4.0284378118330086E-5,4.300857785462177E-5,9.950502334382831E-5,1.500940836316231E-4
180.7843137254902,4.3139170409403956E-5,4.9075111740864906E-5,9.990045422606197E-5,1.1045457430913363E-4
185.2941176470588,4.91917531789363E-5,4.8691684108540526E-5,1.0029140590611694E-4,9.61215727719374E-5
189.80392156862746,4.884242965743892E-5,4.287813252479094E-5,1.0067830707495455E-4,7.570414424230513E-5
194.31372549019608,4.302073566347495E-5,4.006516889597132E-5,1.0106156455418616E-4,7.990574651580889E-5
198.8235294117647,4.0210793320397164E-5,3.811765570258476E-5,1.0144156584294018E-4,8.90651784949316E-5
203.33333333333334,3.82705715306853E-5,3.656039513967958E-5,1.0181868142004874E-4,9.31333444387325E-5
207.84313725490196,3.6724748203651294E-5,3.520072017414345E-5,1.0219326683830287E-4,9.567648282333373E-5
212.35294117647058,3.538158908783151E-5,3.393278026691416E-5,1.0256566464112681E-4,9.752483830100847E-5
216.86274509803923,3.413706202821192E-5,3.268125060821854E-5,1.0293620612924989E-4,9.899445191563363E-5
221.37254901960785,3.291904280060248E-5,3.1375684668655935E-5,1.033052130014571E-4,1.0023618118273693E-4
225.88235294117646,3.1662927316410064E-5,2.9928903900506546E-5,1.0367299889005679E-4,1.0133302486372206E-4
230.39215686274508,3.0293168320604897E-5,2.820055092434169E-5,1.0403987080953323E-4,1.0233578480761796E-4
234.90196078431373,2.8696003778474113E-5,2.5894872945173436E-5,1.0440613053678787E-4,1.0327861092735961E-4
239.41176470588235,2.6652062760152024E-5,2.2085374835392074E-5,1.047720759374784E-4,1.04186748037039E-4
243.92156862745097,2.3578791009940657E-5,-3.665751657084815E-6,1.0513800225354648E-4,1.0508094005789931E-4
248.4313725490196,1.61969208919792E-5,2.2171066197025233E-5,1.0550420336642182E-4,1.0598039500756101E-4
252.94117647058823,1.9743520522410253E-5,2.5939459812017343E-5,1.0587097304871505E-4,1.0690531667751636E-4
257.45098039215685,2.4744027759342214E-5,2.8232328783644146E-5,1.0623860621848558E-4,1.0787977189997788E-4
261.9607843137255,2.737417847377945E-5,2.9955097526393598E-5,1.0660740020946526E-4,1.0893586164065694E-4
266.47058823529414,2.923955697487348E-5,3.139938772803612E-5,1.0697765607066157E-4,1.101209971876931E-4
270.98039215686276,3.0747667531429054E-5,3.2704291086918984E-5,1.0734967991095966E-4,1.115124837604136E-4
275.4901960784314,3.2071434676880134E-5,3.3956610946939135E-5,1.077237843037106E-4,1.1325104649859891E-4
280,3.330811210866678E-5,3.522688573512433E-5,1.0810028976888543E-4,1.1563266571131913E-4
284.5098039215686,3.452755648274116E-5,3.659101781590533E-5,1.0847952635077307E-4,1.1944000888375699E-4
289.01960784313724,3.579476932894146E-5,3.815635946729674E-5,1.0886183531355816E-4,1.2812333409595073E-4
293.52941176470586,3.718865939891351E-5,4.0119691453343394E-5,1.092475709782029E-4,1.3835688372210812E-4
298.0392156862745,3.883225998233767E-5,4.297149940168528E-5,1.0963710272827792E-4,1.1188381081230656E-4
302.54901960784315,4.0972065194875066E-5,4.898414347982046E-5,1.1003081721605987E-4,9.44568565421249E-5
307.05882352941177,4.430513319973945E-5,4.875738199394054E-5,1.1042912080775576E-4,8.197740293910215E-5
311.5686274509804,5.399420648975166E-5,4.2893795261866184E-5,1.1083244231059959E-4,9.617862540284354E-5
316.078431372549,4.646985450233431E-5,4.007040858201417E-5,1.11241236035126E-4,1.0097296614976465E-4
320.5882352941176,4.20718115991906E-5,3.811808849833692E-5,1.1165598525461581E-4,1.0375820162062761E-4
325.0980392156863,3.959685182484154E-5,3.6557713765929596E-5,1.1207720613899692E-4,1.0572503623840377E-4
329.6078431372549,3.7798806565510554E-5,3.5195472185000814E-5,1.1250545225380105E-4,1.0727617598466164E-4
